[2016-05-27 18:17:26] my_logger.INFO: places answer page [] []
[2016-05-27 18:30:17] my_logger.INFO: places answer page [] []
[2016-05-27 18:54:03] my_logger.INFO: places answer page [] []
[2016-05-27 18:54:31] my_logger.INFO: home page loaded [] []
[2016-05-27 18:55:20] my_logger.INFO: home page loaded [] []
[2016-05-27 18:56:48] my_logger.INFO: home page loaded [] []
[2016-05-27 18:57:15] my_logger.INFO: home page loaded [] []
[2016-05-27 18:57:48] my_logger.INFO: home page loaded [] []
[2016-05-30 12:28:41] my_logger.INFO: home page loaded [] []
[2016-05-30 12:32:23] my_logger.INFO: home page loaded [] []
[2016-05-30 12:32:59] my_logger.INFO: home page loaded [] []
[2016-05-30 12:34:57] my_logger.INFO: home page loaded [] []
[2016-05-30 12:35:47] my_logger.INFO: home page loaded [] []
[2016-05-30 12:36:59] my_logger.INFO: home page loaded [] []
[2016-05-30 12:37:33] my_logger.INFO: home page loaded [] []
[2016-05-30 12:38:13] my_logger.INFO: home page loaded [] []
[2016-05-30 12:44:37] my_logger.INFO: home page loaded [] []
[2016-05-30 12:45:08] my_logger.INFO: home page loaded [] []
[2016-05-30 12:45:10] my_logger.INFO: home page loaded [] []
[2016-05-30 12:45:18] my_logger.INFO: home page loaded [] []
[2016-05-30 12:45:34] my_logger.INFO: home page loaded [] []
[2016-05-30 12:45:56] my_logger.INFO: home page loaded [] []
[2016-05-30 12:46:22] my_logger.INFO: home page loaded [] []
[2016-05-30 12:46:28] my_logger.INFO: home page loaded [] []
[2016-05-30 12:46:32] my_logger.INFO: home page loaded [] []
[2016-05-30 12:48:13] my_logger.INFO: home page loaded [] []
[2016-05-30 12:48:36] my_logger.INFO: home page loaded [] []
[2016-05-30 12:48:46] my_logger.INFO: home page loaded [] []
[2016-05-30 12:51:09] my_logger.INFO: home page loaded [] []
[2016-05-30 12:51:19] my_logger.INFO: home page loaded [] []
[2016-05-30 12:52:03] my_logger.INFO: home page loaded [] []
[2016-05-30 12:52:25] my_logger.INFO: home page loaded [] []
[2016-05-30 13:06:29] my_logger.INFO: home page loaded [] []
[2016-05-30 13:06:52] my_logger.INFO: home page loaded [] []
[2016-05-30 13:07:04] my_logger.INFO: home page loaded [] []
[2016-05-30 13:07:32] my_logger.INFO: home page loaded [] []
[2016-05-30 13:07:39] my_logger.INFO: home page loaded [] []
[2016-05-30 13:08:11] my_logger.INFO: home page loaded [] []
[2016-05-30 13:08:50] my_logger.INFO: home page loaded [] []
[2016-05-30 13:08:56] my_logger.INFO: home page loaded [] []
[2016-05-30 13:11:30] my_logger.INFO: home page loaded [] []
[2016-05-30 13:11:48] my_logger.INFO: home page loaded [] []
[2016-05-30 13:12:13] my_logger.INFO: home page loaded [] []
[2016-05-30 13:12:37] my_logger.INFO: home page loaded [] []
[2016-05-30 13:12:42] my_logger.INFO: home page loaded [] []
[2016-05-30 13:16:09] my_logger.INFO: home page loaded [] []
[2016-05-30 13:16:21] my_logger.INFO: home page loaded [] []
[2016-05-30 13:18:58] my_logger.INFO: home page loaded [] []
[2016-05-30 13:19:26] my_logger.INFO: home page loaded [] []
[2016-05-30 13:21:26] my_logger.INFO: home page loaded [] []
[2016-05-30 13:21:40] my_logger.INFO: home page loaded [] []
[2016-05-30 13:22:05] my_logger.INFO: home page loaded [] []
[2016-05-30 13:22:15] my_logger.INFO: home page loaded [] []
[2016-05-30 13:22:48] my_logger.INFO: home page loaded [] []
[2016-05-30 13:22:55] my_logger.INFO: home page loaded [] []
[2016-05-30 13:23:44] my_logger.INFO: home page loaded [] []
[2016-05-30 13:25:20] my_logger.INFO: home page loaded [] []
[2016-05-30 13:26:17] my_logger.INFO: home page loaded [] []
[2016-05-30 13:29:10] my_logger.INFO: home page loaded [] []
[2016-05-30 13:30:25] my_logger.INFO: home page loaded [] []
[2016-05-30 13:36:44] my_logger.INFO: home page loaded [] []
[2016-05-30 13:36:47] my_logger.INFO: home page loaded [] []
[2016-05-30 13:39:10] my_logger.INFO: home page loaded [] []
[2016-05-30 13:39:36] my_logger.INFO: home page loaded [] []
[2016-05-30 13:39:41] my_logger.INFO: home page loaded [] []
[2016-05-30 13:40:25] my_logger.INFO: home page loaded [] []
[2016-05-30 13:41:19] my_logger.INFO: home page loaded [] []
[2016-05-30 13:41:42] my_logger.INFO: home page loaded [] []
[2016-05-30 13:41:45] my_logger.INFO: home page loaded [] []
[2016-05-30 13:43:36] my_logger.INFO: home page loaded [] []
[2016-05-30 13:44:02] my_logger.INFO: home page loaded [] []
[2016-05-30 13:45:26] my_logger.INFO: home page loaded [] []
[2016-05-30 13:45:36] my_logger.INFO: home page loaded [] []
[2016-05-30 13:45:39] my_logger.INFO: home page loaded [] []
[2016-05-30 13:46:18] my_logger.INFO: home page loaded [] []
[2016-05-30 13:46:25] my_logger.INFO: home page loaded [] []
[2016-05-30 13:46:31] my_logger.INFO: home page loaded [] []
[2016-05-30 13:46:43] my_logger.INFO: home page loaded [] []
[2016-05-30 13:48:13] my_logger.INFO: home page loaded [] []
[2016-05-30 13:48:14] my_logger.INFO: home page loaded [] []
[2016-05-30 13:48:22] my_logger.INFO: home page loaded [] []
[2016-05-30 13:49:16] my_logger.INFO: home page loaded [] []
[2016-05-30 13:49:38] my_logger.INFO: home page loaded [] []
[2016-05-30 13:49:45] my_logger.INFO: home page loaded [] []
[2016-05-30 13:50:02] my_logger.INFO: home page loaded [] []
[2016-05-30 13:50:34] my_logger.INFO: home page loaded [] []
[2016-05-30 13:51:51] my_logger.INFO: home page loaded [] []
[2016-05-30 13:52:08] my_logger.INFO: home page loaded [] []
[2016-05-30 13:52:38] my_logger.INFO: home page loaded [] []
[2016-05-30 13:52:56] my_logger.INFO: home page loaded [] []
[2016-05-30 13:54:12] my_logger.INFO: home page loaded [] []
[2016-05-30 13:54:36] my_logger.INFO: home page loaded [] []
[2016-05-30 13:54:52] my_logger.INFO: home page loaded [] []
[2016-05-30 13:55:19] my_logger.INFO: home page loaded [] []
[2016-05-30 13:55:43] my_logger.INFO: home page loaded [] []
[2016-05-30 13:56:16] my_logger.INFO: home page loaded [] []
[2016-05-30 13:56:29] my_logger.INFO: home page loaded [] []
[2016-05-30 13:57:20] my_logger.INFO: home page loaded [] []
[2016-05-30 13:58:47] my_logger.INFO: home page loaded [] []
[2016-05-30 13:59:04] my_logger.INFO: home page loaded [] []
[2016-05-30 13:59:25] my_logger.INFO: home page loaded [] []
[2016-05-30 13:59:49] my_logger.INFO: home page loaded [] []
[2016-05-30 14:01:19] my_logger.INFO: home page loaded [] []
[2016-05-30 14:04:36] my_logger.INFO: home page loaded [] []
[2016-05-30 14:05:48] my_logger.INFO: home page loaded [] []
[2016-05-30 14:08:52] my_logger.INFO: home page loaded [] []
[2016-05-30 14:11:33] my_logger.INFO: home page loaded [] []
[2016-05-30 14:13:33] my_logger.INFO: home page loaded [] []
[2016-05-30 14:13:47] my_logger.INFO: home page loaded [] []
[2016-05-30 14:13:48] my_logger.INFO: home page loaded [] []
[2016-05-30 14:14:17] my_logger.INFO: home page loaded [] []
[2016-05-30 14:16:49] my_logger.INFO: home page loaded [] []
[2016-05-30 14:17:08] my_logger.INFO: home page loaded [] []
[2016-05-30 14:18:22] my_logger.INFO: home page loaded [] []
[2016-05-30 14:19:03] my_logger.INFO: home page loaded [] []
[2016-05-30 14:20:12] my_logger.INFO: home page loaded [] []
[2016-05-30 14:22:06] my_logger.INFO: home page loaded [] []
[2016-05-30 14:22:52] my_logger.INFO: home page loaded [] []
[2016-05-30 14:25:09] my_logger.INFO: home page loaded [] []
[2016-05-30 14:25:28] my_logger.INFO: home page loaded [] []
[2016-05-30 14:29:47] my_logger.INFO: home page loaded [] []
[2016-05-30 14:39:39] my_logger.INFO: home page loaded [] []
[2016-05-30 14:41:58] my_logger.INFO: home page loaded [] []
[2016-05-30 14:43:03] my_logger.INFO: home page loaded [] []
[2016-05-30 14:43:17] my_logger.INFO: home page loaded [] []
[2016-05-30 14:46:17] my_logger.INFO: home page loaded [] []
[2016-05-30 14:49:09] my_logger.INFO: home page loaded [] []
[2016-05-30 14:49:27] my_logger.INFO: home page loaded [] []
